Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)
26	Default BKT Controller(1)	AD 8_3_plus_4_4	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	27	JCommTable4.R0C0	4	AD JCommTable4.R0C0	4
27	Default BKT Controller(1)	AD 8_3_plus_4_4	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	28	JCommTable5.R1C0	4	AD JCommTable5.R1C0	4
28	Default BKT Controller(1)	AD 8_3_plus_4_4	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	29	JCommTable5.R0C0	4	AD JCommTable5.R0C0	4
29	Default BKT Controller(1)	AD 8_3_plus_4_4	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	30	JCommTable6.R1C0	4	AD JCommTable6.R1C0	4
30	Default BKT Controller(1)	AD 8_3_plus_4_4	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	31	JCommTable6.R0C0	4	AD JCommTable6.R0C0	4
31	Default BKT Controller(1)	AD 8_3_plus_4_4	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	32	done	4	AD done	4
32	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	33	JCommTable8.R0C0	5	AS JCommTable8.R0C0	1
33	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	2	0	0	Single-KC	34	JCommTable4.R1C0	5	AS JCommTable4.R1C0	1
34	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	Single-KC	35	JCommTable6.R1C0	5	AS JCommTable6.R1C0	1
35	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	Single-KC	36	JCommTable6.R0C0	5	AS JCommTable6.R0C0	1
36	Default BKT Controller(1)	AS 9_7_plus_9_7	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	37	done	5	AS done	1
37	Default BKT Controller(1)	M 1_5_times_9_9	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	38	JCommTable8.R0C0	6	M  JCommTable8.R0C0	1
38	Default BKT Controller(1)	M 1_5_times_9_9	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	1/1/1970 0:03	incorrect	4	1	1	Single-KC	39	JCommTable6.R0C0	6	M  JCommTable6.R0C0	1
39	Default BKT Controller(1)	M 1_5_times_9_9	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	Single-KC	40	JCommTable6.R1C0	6	M  JCommTable6.R1C0	1
40	Default BKT Controller(1)	M 1_5_times_9_9	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	41	JCommTable4.R1C0	6	M  JCommTable4.R1C0	1
41	Default BKT Controller(1)	M 1_5_times_9_9	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	1	Single-KC	42	done	6	M  done	1
42	Default BKT Controller(1)	AS 5_3_plus_6_3	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	Single-KC	43	JCommTable4.R1C0	7	AS JCommTable4.R1C0	2
43	Default BKT Controller(1)	AS 5_3_plus_6_3	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	Single-KC	44	JCommTable8.R0C0	7	AS JCommTable8.R0C0	2
44	Default BKT Controller(1)	AS 5_3_plus_6_3	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	0	Single-KC	45	JCommTable6.R1C0	7	AS JCommTable6.R1C0	2
45	Default BKT Controller(1)	AS 5_3_plus_6_3	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	Single-KC	46	JCommTable6.R0C0	7	AS JCommTable6.R0C0	2
46	Default BKT Controller(1)	AS 5_3_plus_6_3	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	47	done	7	AS done	2
47	Default BKT Controller(1)	AD 10_7_plus_6_3	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	Single-KC	48	JCommTable6.R1C0	8	AD JCommTable6.R1C0	5
48	Default BKT Controller(1)	AD 10_7_plus_6_3	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	1	1	1	Single-KC	49	JCommTable8.R0C0	8	AD JCommTable8.R0C0	5
49	Default BKT Controller(1)	AD 10_7_plus_6_3	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	50	JCommTable4.R1C0	8	AD JCommTable4.R1C0	5
50	Default BKT Controller(1)	AD 10_7_plus_6_3	1	JCommTable4.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	51	JCommTable4.R0C0	5	AD JCommTable4.R0C0	5
51	Default BKT Controller(1)	AD 10_7_plus_6_3	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	52	JCommTable5.R1C0	5	AD JCommTable5.R1C0	5
52	Default BKT Controller(1)	AD 10_7_plus_6_3	1	JCommTable5.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	53	JCommTable5.R0C0	5	AD JCommTable5.R0C0	5
53	Default BKT Controller(1)	AD 10_7_plus_6_3	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	1	1	0	Single-KC	54	JCommTable6.R0C0	8	AD JCommTable6.R0C0	5
54	Default BKT Controller(1)	AD 10_7_plus_6_3	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	55	done	8	AD done	5
55	Default BKT Controller(1)	M 10_2_times_8_10	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	Single-KC	56	JCommTable8.R0C0	9	M  JCommTable8.R0C0	2
56	Default BKT Controller(1)	M 10_2_times_8_10	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	2	1	1	Single-KC	57	JCommTable6.R0C0	9	M  JCommTable6.R0C0	2
57	Default BKT Controller(1)	M 10_2_times_8_10	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	hint	1	1	1	Single-KC	58	JCommTable6.R1C0	9	M  JCommTable6.R1C0	2
58	Default BKT Controller(1)	M 10_2_times_8_10	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	59	done	9	M  done	2
59	Default BKT Controller(1)	M 3_7_times_3_2	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	2	1	1	Single-KC	60	JCommTable6.R0C0	10	M  JCommTable6.R0C0	3
60	Default BKT Controller(1)	M 3_7_times_3_2	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	2	1	1	Single-KC	61	JCommTable6.R1C0	10	M  JCommTable6.R1C0	3
61	Default BKT Controller(1)	M 3_7_times_3_2	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	62	done	10	M  done	3
62	Default BKT Controller(1)	AS 2_7_plus_1_7	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	Single-KC	63	JCommTable6.R0C0	11	AS JCommTable6.R0C0	3
63	Default BKT Controller(1)	AS 2_7_plus_1_7	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	Single-KC	64	JCommTable6.R1C0	11	AS JCommTable6.R1C0	3
64	Default BKT Controller(1)	AS 2_7_plus_1_7	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	65	done	11	AS done	3
65	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:05	1/1/1970 0:05	incorrect	2	1	0	Single-KC	66	JCommTable6.R1C0	12	AD JCommTable6.R1C0	6
66	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:05	1/1/1970 0:05	incorrect	2	1	0	Single-KC	67	JCommTable6.R0C0	12	AD JCommTable6.R0C0	6
67	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:05	1/1/1970 0:05	hint	1	1	1	Single-KC	68	JCommTable8.R0C0	10	AD JCommTable8.R0C0	6
68	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable4.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	1	1	0	Single-KC	69	JCommTable4.R1C0	9	AD JCommTable4.R1C0	6
69	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable4.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	70	JCommTable4.R0C0	6	AD JCommTable4.R0C0	6
70	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable5.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	71	JCommTable5.R1C0	6	AD JCommTable5.R1C0	6
71	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable5.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	72	JCommTable5.R0C0	6	AD JCommTable5.R0C0	6
72	Default BKT Controller(1)	AD 1_6_plus_2_6	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	73	done	12	AD done	6
73	Default BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	74	JCommTable8.R0C0	11	AD JCommTable8.R0C0	7
74	Default BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable4.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	75	JCommTable4.R1C0	10	AD JCommTable4.R1C0	7
75	Default BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable4.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	76	JCommTable4.R0C0	7	AD JCommTable4.R0C0	7
76	Default BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable5.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	77	JCommTable5.R1C0	7	AD JCommTable5.R1C0	7
77	Default BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable5.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	1	1	0	Single-KC	78	JCommTable5.R0C0	7	AD JCommTable5.R0C0	7
78	Default BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	79	JCommTable6.R0C0	13	AD JCommTable6.R0C0	7
79	Default BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	80	JCommTable6.R1C0	13	AD JCommTable6.R1C0	7
80	Default BKT Controller(1)	AD 7_6_plus_10_6	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	81	done	13	AD done	7
81	Default BKT Controller(1)	AD 10_7_plus_2_9	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	82	JCommTable8.R0C0	12	AD JCommTable8.R0C0	8
82	Default BKT Controller(1)	AD 10_7_plus_2_9	1	JCommTable4.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	83	JCommTable4.R1C0	11	AD JCommTable4.R1C0	8
83	Default BKT Controller(1)	AD 10_7_plus_2_9	1	JCommTable4.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	84	JCommTable4.R0C0	8	AD JCommTable4.R0C0	8
84	Default BKT Controller(1)	AD 10_7_plus_2_9	1	JCommTable5.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	85	JCommTable5.R1C0	8	AD JCommTable5.R1C0	8
85	Default BKT Controller(1)	AD 10_7_plus_2_9	1	JCommTable5.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	86	JCommTable5.R0C0	8	AD JCommTable5.R0C0	8
86	Default BKT Controller(1)	AD 10_7_plus_2_9	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	1	1	0	Single-KC	87	JCommTable6.R1C0	14	AD JCommTable6.R1C0	8
87	Default BKT Controller(1)	AD 10_7_plus_2_9	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	88	JCommTable6.R0C0	14	AD JCommTable6.R0C0	8
88	Default BKT Controller(1)	AD 10_7_plus_2_9	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	89	done	14	AD done	8
89	Default BKT Controller(1)	M 7_8_times_8_10	1	JCommTable6.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	90	JCommTable6.R1C0	15	M  JCommTable6.R1C0	4
90	Default BKT Controller(1)	M 7_8_times_8_10	1	JCommTable6.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	incorrect	3	1	1	Single-KC	91	JCommTable6.R0C0	15	M  JCommTable6.R0C0	4
91	Default BKT Controller(1)	M 7_8_times_8_10	1	done	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	92	done	15	M  done	4
92	Default BKT Controller(1)	M 5_3_times_8_10	1	JCommTable6.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	93	JCommTable6.R1C0	16	M  JCommTable6.R1C0	5
93	Default BKT Controller(1)	M 5_3_times_8_10	1	JCommTable6.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	94	JCommTable6.R0C0	16	M  JCommTable6.R0C0	5
94	Default BKT Controller(1)	M 5_3_times_8_10	1	done	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	95	done	16	M  done	5
95	Default BKT Controller(1)	AS 5_4_plus_7_4	1	JCommTable6.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	incorrect	1	1	0	Single-KC	96	JCommTable6.R1C0	17	AS JCommTable6.R1C0	4
96	Default BKT Controller(1)	AS 5_4_plus_7_4	1	JCommTable6.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	incorrect	1	1	0	Single-KC	97	JCommTable6.R0C0	17	AS JCommTable6.R0C0	4
97	Default BKT Controller(1)	AS 5_4_plus_7_4	1	done	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	98	done	17	AS done	4
98	Default BKT Controller(1)	AS 2_1_plus_8_1	1	JCommTable8.R0C0	1/1/1970 0:06	1/1/1970 0:06		1/1/1970 0:06	incorrect	1	0	0	Single-KC	99	JCommTable8.R0C0	13	AS JCommTable8.R0C0	3
99	Default BKT Controller(1)	AS 2_1_plus_8_1	1	JCommTable6.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	incorrect	1	1	0	Single-KC	100	JCommTable6.R0C0	18	AS JCommTable6.R0C0	5
100	Default BKT Controller(1)	AS 2_1_plus_8_1	1	JCommTable6.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	101	JCommTable6.R1C0	18	AS JCommTable6.R1C0	5
101	Default BKT Controller(1)	AS 2_1_plus_8_1	1	done	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	102	done	18	AS done	5
102	Default BKT Controller(1)	AS 3_1_plus_10_1	1	JCommTable6.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	103	JCommTable6.R1C0	19	AS JCommTable6.R1C0	6
103	Default BKT Controller(1)	AS 3_1_plus_10_1	1	JCommTable6.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	104	JCommTable6.R0C0	19	AS JCommTable6.R0C0	6
104	Default BKT Controller(1)	AS 3_1_plus_10_1	1	done	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	105	done	19	AS done	6
105	Default BKT Controller(1)	AS 7_8_plus_4_8	1	JCommTable6.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	incorrect	1	1	0	Single-KC	106	JCommTable6.R1C0	20	AS JCommTable6.R1C0	7
106	Default BKT Controller(1)	AS 7_8_plus_4_8	1	JCommTable6.R0C0	1/1/1970 0:07	1/1/1970 0:07	1/1/1970 0:07	1/1/1970 0:07	correct	0	1	0	Single-KC	107	JCommTable6.R0C0	20	AS JCommTable6.R0C0	7
